Date,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner,home_team_rank,home_team_points,home_team_previous_points,away_team_rank,away_team_points,away_team_previous_points,Home Team Champion,Away Team Champion
1958-06-15,England,2.0,2.0,Austria,0,5,1728.47,1737.46,34.0,1492.95,1502.47,1.0,0.0
1958-06-15,Czechoslovakia,6.0,1.0,Argentina,1,64,24.0,24.0,3.0,1773.88,1770.65,0.0,2.0
1958-06-15,Czechoslovakia,6.0,1.0,Argentina,1,64,24.0,24.0,3.0,1773.88,1770.65,0.0,2.0
1958-06-17,Russia,1.0,0.0,England,1,33,1496.11,1493.42,5.0,1728.47,1737.46,0.0,1.0
1958-06-17,Northern Ireland,2.0,1.0,Czechoslovakia,1,59,1396.55,1399.1,64.0,24.0,24.0,0.0,0.0
1958-06-17,Northern Ireland,2.0,1.0,Czechoslovakia,1,59,1396.55,1399.1,64.0,24.0,24.0,0.0,0.0
1958-06-17,Wales,2.0,1.0,Hungary,1,19,1569.82,1582.13,36.0,1492.2,1486.76,0.0,0.0
1958-06-19,Brazil,1.0,0.0,Wales,1,1,1841.3,1837.56,19.0,1569.82,1582.13,5.0,0.0
1958-06-19,Germany,1.0,0.0,Yugoslavia,1,11,1650.21,1658.96,6.0,64.0,64.0,4.0,0.0
1958-06-19,Germany,1.0,0.0,Yugoslavia,1,11,1650.21,1658.96,6.0,64.0,64.0,4.0,0.0
1958-06-19,Sweden,2.0,0.0,Russia,1,25,1553.33,1563.44,33.0,1496.11,1493.42,0.0,0.0
1958-06-19,France,4.0,0.0,Northern Ireland,1,4,1759.78,1764.85,59.0,1396.55,1399.1,1.0,0.0
1958-06-24,Sweden,3.0,1.0,Germany,1,25,1553.33,1563.44,11.0,1650.21,1658.96,0.0,4.0
1958-06-24,Brazil,5.0,2.0,France,1,1,1841.3,1837.56,4.0,1759.78,1764.85,5.0,1.0
1958-06-28,France,6.0,3.0,Germany,1,4,1759.78,1764.85,11.0,1650.21,1658.96,1.0,4.0
1958-06-29,Brazil,5.0,2.0,Sweden,1,1,1841.3,1837.56,25.0,1553.33,1563.44,5.0,0.0
1962-05-30,Uruguay,2.0,1.0,Colombia,1,14,1638.71,1640.95,17.0,1611.04,1604.07,2.0,0.0
